Start Time,Duration,Title,Device Type,Country,Show Title,Genre,Media Type
2023-04-19 22:32:00-04:00,0 days 00:31:42,BEEF: Season 1: Figures of Light (Episode 10),Roku Midland Smart TV,US (United States),BEEF,Comedy,Netflix Series
2023-04-19 22:04:00-04:00,0 days 00:28:06,BEEF: Season 1: The Great Fabricator (Episode 9),Roku Midland Smart TV,US (United States),BEEF,Comedy,Netflix Series
2023-04-19 21:31:00-04:00,0 days 00:33:16,BEEF: Season 1: The Drama of Original Choice (Episode 8),Roku Midland Smart TV,US (United States),BEEF,Comedy,Netflix Series
2023-04-19 20:54:00-04:00,0 days 00:34:31,BEEF: Season 1: I Am a Cage (Episode 7),Roku Midland Smart TV,US (United States),BEEF,Comedy,Netflix Series
2023-04-19 20:19:00-04:00,0 days 00:33:59,BEEF: Season 1: We Draw a Magic Circle (Episode 6),Roku Midland Smart TV,US (United States),BEEF,Comedy,Netflix Series
2023-04-19 19:47:00-04:00,0 days 00:31:41,BEEF: Season 1: Such Inward Secret Creatures (Episode 5),Roku Midland Smart TV,US (United States),BEEF,Comedy,Netflix Series
2023-04-19 18:47:00-04:00,0 days 00:33:26,BEEF: Season 1: Just Not All at the Same Time (Episode 4),Roku Midland Smart TV,US (United States),BEEF,Comedy,Netflix Series
2023-04-19 18:14:00-04:00,0 days 00:32:34,BEEF: Season 1: I Am Inhabited by a Cry (Episode 3),Roku Midland Smart TV,US (United States),BEEF,Comedy,Netflix Series
2023-04-19 17:43:00-04:00,0 days 00:30:55,BEEF: Season 1: The Rapture of Being Alive (Episode 2),Roku Midland Smart TV,US (United States),BEEF,Comedy,Netflix Series
2023-04-19 17:06:00-04:00,0 days 00:36:41,"BEEF: Season 1: The Birds Don't Sing, They Screech in Pain (Episode 1)",Roku Midland Smart TV,US (United States),BEEF,Comedy,Netflix Series
2023-04-19 16:23:00-04:00,0 days 00:40:45,The Night Agent: Season 1: Fathers (Episode 10),Roku Midland Smart TV,US (United States),The Night Agent,Political Drama,Netflix Series
2023-04-19 15:19:00-04:00,0 days 00:40:40,The Night Agent: Season 1: The Devil We Know (Episode 9),Roku Midland Smart TV,US (United States),The Night Agent,Political Drama,Netflix Series
2023-04-19 14:39:00-04:00,0 days 00:40:52,The Night Agent: Season 1: Redux (Episode 8),Roku Midland Smart TV,US (United States),The Night Agent,Political Drama,Netflix Series
2023-04-19 13:56:00-04:00,0 days 00:40:56,The Night Agent: Season 1: Best Served Cold (Episode 7),Roku Midland Smart TV,US (United States),The Night Agent,Political Drama,Netflix Series
2023-04-19 13:18:00-04:00,0 days 00:37:14,The Night Agent: Season 1: Fathoms (Episode 6),Roku Midland Smart TV,US (United States),The Night Agent,Political Drama,Netflix Series
2023-04-19 13:06:00-04:00,0 days 00:07:55,The Night Agent: Season 1: Fathoms (Episode 6),Roku Midland Smart TV,US (United States),The Night Agent,Political Drama,Netflix Series
2023-04-19 11:26:00-04:00,0 days 00:38:08,The Night Agent: Season 1: The Marionette (Episode 5),Apple iPhone 13 Pro Max,US (United States),The Night Agent,Political Drama,Netflix Series
2023-04-19 10:43:00-04:00,0 days 00:42:51,The Night Agent: Season 1: Eyes Only (Episode 4),Apple iPhone 13 Pro Max,US (United States),The Night Agent,Political Drama,Netflix Series
2023-04-18 22:45:00-04:00,0 days 00:00:35,The Night Agent: Season 1: Eyes Only (Episode 4),Apple iPhone 13 Pro Max,US (United States),The Night Agent,Political Drama,Netflix Series
2023-04-18 22:22:00-04:00,0 days 00:04:45,The Night Agent: Season 1: The Zookeeper (Episode 3),Apple iPhone 13 Pro Max,US (United States),The Night Agent,Political Drama,Netflix Series
2023-04-18 21:02:00-04:00,0 days 00:28:04,The Night Agent: Season 1: The Zookeeper (Episode 3),Apple iPhone 13 Pro Max,US (United States),The Night Agent,Political Drama,Netflix Series
2023-04-18 20:44:00-04:00,0 days 00:14:43,The Night Agent: Season 1: Redial (Episode 2),Apple iPhone 13 Pro Max,US (United States),The Night Agent,Political Drama,Netflix Series
2023-04-18 20:04:00-04:00,0 days 00:29:27,The Night Agent: Season 1: Redial (Episode 2),Apple iPhone 13 Pro Max,US (United States),The Night Agent,Political Drama,Netflix Series
2023-04-18 19:09:00-04:00,0 days 00:50:55,The Night Agent: Season 1: The Call (Episode 1),Apple iPhone 13 Pro Max,US (United States),The Night Agent,Political Drama,Netflix Series
2023-03-25 17:36:00-04:00,0 days 00:41:49,"Legacies: Season 4: Just Don't Be A Stranger, Okay? (Episode 16)",Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-25 16:52:00-04:00,0 days 00:41:54,Legacies: Season 4: This Can Only End in Blood (Episode 15),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-25 16:17:00-04:00,0 days 00:32:09,"Legacies: Season 4: By the End of This, You'll Know Who You Were Meant to Be (Episode 14)",Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-25 14:43:00-04:00,0 days 00:09:32,"Legacies: Season 4: By the End of This, You'll Know Who You Were Meant to Be (Episode 14)",Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-25 13:44:00-04:00,0 days 00:41:50,Legacies: Season 4: Into the Woods (Episode 13),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-25 13:24:00-04:00,0 days 00:20:24,Legacies: Season 4: I Wouldn't Be Standing Here If It Weren't for You (Episode 12),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-25 00:56:00-04:00,0 days 00:21:32,Legacies: Season 4: I Wouldn't Be Standing Here If It Weren't for You (Episode 12),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-24 23:48:00-04:00,0 days 00:41:51,Legacies: Season 4: Everything That Can Be Lost May Also Be Found (Episode 11),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-24 23:13:00-04:00,0 days 00:33:23,Legacies: Season 4: The Only Way Out Is Through (Episode 10),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-24 19:37:00-04:00,0 days 00:08:30,Legacies: Season 4: The Only Way Out Is Through (Episode 10),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-24 19:28:00-04:00,0 days 00:09:22,Legacies: Season 4: Was This the Monster You Saw? (Episode 9),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-24 17:36:00-04:00,0 days 00:32:40,Legacies: Season 4: Was This the Monster You Saw? (Episode 9),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-24 16:13:00-04:00,0 days 00:30:56,Legacies: Season 4: Not All Those Who Wander Are Lost (Episode 8),Apple iPhone 13 Pro Max,US (United States),Legacies,Teen Drama,Series
2023-03-24 00:37:00-04:00,0 days 00:40:41,Legacies: Season 4: Follow the Sound of My Voice (Episode 7),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-23 23:55:00-04:00,0 days 00:41:54,Legacies: Season 4: The Story of My Life (Episode 6),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-23 23:13:00-04:00,0 days 00:41:56,Legacies: Season 4: I Can't Be the One to Stop You (Episode 5),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-23 22:27:00-04:00,0 days 00:41:51,Legacies: Season 4: You Will Remember Me (Episode 4),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-23 21:45:00-04:00,0 days 00:41:56,Legacies: Season 4: Someplace Far Away from All This Violence (Episode 3),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-23 21:03:00-04:00,0 days 00:41:54,Legacies: Season 4: You're a Long Way from Home (Episode 2),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-23 20:04:00-04:00,0 days 00:41:21,Legacies: Season 4: I Thought You'd Be Happier to See Me (Episode 1),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-23 19:11:00-04:00,0 days 00:41:46,Legacies: Season 3: See You on the Other Side (Episode 20),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-23 18:07:00-04:00,0 days 00:41:42,Legacies: Season 3: We All Knew This Day Was Coming (Episode 19),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-23 16:25:00-04:00,0 days 00:41:27,"Legacies: Season 3: There's No I in Team, or Whatever (Episode 18)",Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-23 16:20:00-04:00,0 days 00:00:22,"Legacies: Season 3: There's No I in Team, or Whatever (Episode 18)",Apple iPhone 13 Pro Max,US (United States),Legacies,Teen Drama,Series
2023-03-23 15:28:00-04:00,0 days 00:40:53,Legacies: Season 3: You Have to Pick One This Time (Episode 17),Apple iPhone 13 Pro Max,US (United States),Legacies,Teen Drama,Series
2023-03-23 14:50:00-04:00,0 days 00:38:07,"Legacies: Season 3: Fate's a Bitch, Isn't It? (Episode 16)",Apple iPhone 13 Pro Max,US (United States),Legacies,Teen Drama,Series
2023-03-23 14:23:00-04:00,0 days 00:03:47,"Legacies: Season 3: Fate's a Bitch, Isn't It? (Episode 16)",Apple iPhone 13 Pro Max,US (United States),Legacies,Teen Drama,Series
2023-03-23 13:36:00-04:00,0 days 00:41:50,Legacies: Season 3: A New Hope (Episode 15),Apple iPhone 13 Pro Max,US (United States),Legacies,Teen Drama,Series
2023-03-23 12:55:00-04:00,0 days 00:41:38,Legacies: Season 3: This Feels a Little Cult-y (Episode 14),Apple iPhone 13 Pro Max,US (United States),Legacies,Teen Drama,Series
2023-03-23 12:13:00-04:00,0 days 00:41:02,Legacies: Season 3: One Day You Will Understand (Episode 13),Apple iPhone 13 Pro Max,US (United States),Legacies,Teen Drama,Series
2023-03-23 12:02:00-04:00,0 days 00:10:39,Legacies: Season 3: I Was Made to Love You (Episode 12),Apple iPhone 13 Pro Max,US (United States),Legacies,Teen Drama,Series
2023-03-23 10:43:00-04:00,0 days 00:31:00,Legacies: Season 3: I Was Made to Love You (Episode 12),Apple iPhone 13 Pro Max,US (United States),Legacies,Teen Drama,Series
2023-03-23 10:01:00-04:00,0 days 00:41:28,Legacies: Season 3: You Can't Run from Who You Are (Episode 11),Apple iPhone 13 Pro Max,US (United States),Legacies,Teen Drama,Series
2023-03-23 09:19:00-04:00,0 days 00:41:56,Legacies: Season 3: All's Well That Ends Wells (Episode 10),Apple iPhone 13 Pro Max,US (United States),Legacies,Teen Drama,Series
2023-03-22 22:37:00-04:00,0 days 00:41:45,Legacies: Season 3: Do All Malivore Monsters Provide This Level of Emotional Insight? (Episode 9),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-22 21:55:00-04:00,0 days 00:41:54,"Legacies: Season 3: Long Time, No See (Episode 8)",Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-22 21:12:00-04:00,0 days 00:41:54,"Legacies: Season 3: Yup, It's a Leprechaun, All Right (Episode 7)",Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-22 20:30:00-04:00,0 days 00:41:56,Legacies: Season 3: To Whom It May Concern (Episode 6),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-22 19:48:00-04:00,0 days 00:41:23,Legacies: Season 3: This Is What It Takes (Episode 5),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-22 18:17:00-04:00,0 days 00:40:38,Legacies: Season 3: Hold on Tight (Episode 4),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-22 17:35:00-04:00,0 days 00:41:55,Legacies: Season 3: Salvatore: The Musical! (Episode 3),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-22 16:46:00-04:00,0 days 00:41:59,Legacies: Season 3: Goodbyes Sure Do Suck (Episode 2),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-22 12:45:00-04:00,0 days 00:23:25,Legacies: Season 3: We're Not Worthy (Episode 1),Apple iPhone 13 Pro Max,US (United States),Legacies,Teen Drama,Series
2023-03-22 12:07:00-04:00,0 days 00:37:12,Legacies: Season 2: Facing Darkness Is Kinda My Thing (Episode 16),Apple iPhone 13 Pro Max,US (United States),Legacies,Teen Drama,Series
2023-03-22 11:27:00-04:00,0 days 00:39:35,Legacies: Season 2: Life Was So Much Easier When I Only Cared About Myself (Episode 15),Apple iPhone 13 Pro Max,US (United States),Legacies,Teen Drama,Series
2023-03-22 01:54:00-04:00,0 days 00:41:42,Legacies: Season 2: There's a Place Where the Lost Things Go (Episode 14),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-22 01:13:00-04:00,0 days 00:41:06,Legacies: Season 2: You Can't Save Them All (Episode 13),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-22 00:31:00-04:00,0 days 00:41:08,Legacies: Season 2: Kai Parker Screwed Us (Episode 12),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-21 23:50:00-04:00,0 days 00:40:59,Legacies: Season 2: What Cupid Problem? (Episode 11),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-21 22:40:00-04:00,0 days 00:41:40,Legacies: Season 2: This Is Why We Don't Entrust Plans to Muppet Babies (Episode 10),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-21 21:59:00-04:00,0 days 00:41:17,Legacies: Season 2: I Couldn't Have Done This Without You (Episode 9),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-21 20:52:00-04:00,0 days 00:41:18,Legacies: Season 2: This Christmas Was Surprisingly Violent (Episode 8),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-21 20:42:00-04:00,0 days 00:10:20,Legacies: Season 2: It Will All Be Painfully Clear Soon Enough (Episode 7),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-21 10:48:00-04:00,0 days 00:30:48,Legacies: Season 2: It Will All Be Painfully Clear Soon Enough (Episode 7),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-21 01:36:00-04:00,0 days 00:40:38,Legacies: Season 2: That's Nothing I Had to Remember (Episode 6),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-21 00:54:00-04:00,0 days 00:41:19,Legacies: Season 2: Screw Endgame (Episode 5),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-21 00:13:00-04:00,0 days 00:41:17,Legacies: Season 2: Since When Do You Speak Japanese? (Episode 4),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-20 21:38:00-04:00,0 days 02:05:59,The Hunger Games: Mockingjay - Part 2,Roku Midland Smart TV,US (United States),The Hunger Games,Sci-Fi,Film
2023-03-20 19:38:00-04:00,0 days 01:53:28,The Hunger Games: Mockingjay - Part 1,Roku Midland Smart TV,US (United States),The Hunger Games,Sci-Fi,Film
2023-03-20 18:24:00-04:00,0 days 01:07:49,The Hunger Games: Catching Fire,Roku Midland Smart TV,US (United States),The Hunger Games,Sci-Fi,Film
2023-03-20 17:33:00-04:00,0 days 00:39:44,Legacies: Season 2: You Remind Me of Someone I Used to Know (Episode 3),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-20 16:52:00-04:00,0 days 00:41:10,Legacies: Season 2: This Year Will Be Different (Episode 2),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-20 16:11:00-04:00,0 days 00:40:48,Legacies: Season 2: I'll Never Give Up Hope (Episode 1),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-20 15:28:00-04:00,0 days 00:40:45,Legacies: Season 1: There's Always a Loophole (Episode 16),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-20 02:30:00-04:00,0 days 00:41:10,Legacies: Season 1: I'll Tell You a Story (Episode 15),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-20 01:21:00-04:00,0 days 00:40:59,Legacies: Season 1: Let's Just Finish the Dance (Episode 14),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-20 00:40:00-04:00,0 days 00:41:09,Legacies: Season 1: The Boy Who Still Has a Lot of Good to Do (Episode 13),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-19 23:59:00-04:00,0 days 00:41:10,Legacies: Season 1: There's a Mummy on Main Street (Episode 12),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-19 23:17:00-04:00,0 days 00:41:17,Legacies: Season 1: We're Gonna Need a Spotlight (Episode 11),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-19 22:32:00-04:00,0 days 00:38:24,Legacies: Season 1: There's a World Where Your Dreams Come True (Episode 10),Roku Midland Smart TV,US (United States),Legacies,Teen Drama,Series
2023-03-19 21:05:00-04:00,0 days 01:08:53,The Hunger Games: Catching Fire,Roku Midland Smart TV,US (United States),The Hunger Games,Sci-Fi,Film
2023-03-19 18:23:00-04:00,0 days 02:08:11,The Hunger Games,Roku Midland Smart TV,US (United States),The Hunger Games,Sci-Fi,Film
2023-03-19 18:17:00-04:00,0 days 00:00:49,"Dubai Bling: Season 1: Habibi, welcome to Dubai (Episode 1)",Roku Midland Smart TV,US (United States),Dubai Bling,Reality,Netflix Series
